wrist-x,wrist-y,wrist-z,thumb-x-dip,thumb-y-dip,thumb-z-dip,middle-x-dip,middle-y-dip,middle-z-dip,index-x-dip,index-y-dip,index-z-dip,ring-x-dip,ring-y-dip,ring-z-dip,thumb-x-mcp,thumb-y-mcp,thumb-z-mcp,middle-x-mcp,middle-y-mcp,middle-z-mcp,index-x-mcp,index-y-mcp,index-z-mcp,ring-x-mcp,ring-y-mcp,ring-z-mcp,thumb-x-pip,thumb-y-pip,thumb-z-pip,middle-x-pip,middle-y-pip,middle-z-pip,index-x-pip,index-y-pip,index-z-pip,ring-x-pip,ring-y-pip,ring-z-pip,thumb-x-carp,thumb-y-carp,thumb-z-carp,middle-x-carp,middle-y-carp,middle-z-carp,index-x-carp,index-y-carp,index-z-carp,ring-x-carp,ring-y-carp,ring-z-carp,grabbing,
757.05796,649.3756,278.95608,684.89164,805.8136,221.39712,707.94748,665.1004,-13.11606,720.25516,804.3268,221.37444,771.90292,791.1544,262.14228,669.5236,683.23,446.58,689.2678,631.2712,193.16736,757.86112,628.0204,201.63168,823.15468,633.4060000000001,229.6242,652.869496,750.6652,306.82116,701.28496,651.4528,60.91236,736.08616,765.1876,143.12987999999999,797.21488,762.9556,184.25988,669.5236,683.23,446.58,701.01064,620.5576,422.6364,739.1008,616.6300000000001,418.6584,777.18304,621.544,419.6304,1,
769.8390400000001,649.3288,278.99028,710.75332,812.578,225.57168000000001,727.9310800000001,678.2836,-13.199903999999998,745.0073199999999,806.3679999999999,235.39752,792.7606,786.3484000000001,281.30868,681.71392,684.1551999999999,446.1048,702.63136,639.2272,191.4462,770.6047599999999,630.5332,201.0042,835.53904,630.0508,230.31467999999998,672.97708,757.2208,308.47212,718.77916,662.7352000000001,60.184439999999995,759.10348,773.284,154.08756000000002,816.87448,765.3136,200.82492000000002,681.71392,684.1551999999999,446.1048,708.90256,620.1076,420.58439999999996,746.66476,613.4512,417.1463999999999,784.98064,615.4456,418.95719999999994,1,
797.73688,669.9532,267.0858,755.6626,835.65544,217.41011999999998,762.7232799999999,703.1956,-25.562232,777.1708,827.8744,224.86356,822.67444,804.4924000000001,275.62751999999995,706.78,704.7004000000001,432.6948,732.2356,662.3032000000001,178.01315999999997,799.7885200000001,652.054,188.91252,864.0514000000001,649.8471999999999,219.59243999999998,709.8525999999999,780.52,296.31203999999997,751.6756,686.9308000000001,47.404799999999994,792.32284,795.5355999999999,143.44271999999998,847.85968,786.3592000000001,194.76647999999997,706.78,704.7004000000001,432.6948,733.159,640.3900000000001,406.9836,770.83804,632.974,404.2728,809.13952,634.1296,406.926,1,
798.96628,671.7496,265.68036,761.66128,837.7366,216.99287999999999,765.1738,705.8164,-27.018036000000002,779.6731599999999,829.77772,224.2602,824.91112,806.0944000000001,274.5198,707.72752,706.8712,431.0532,733.70476,664.7692,176.3766,801.1414,653.9836,187.47935999999999,865.28296,651.2296,218.36736,713.7917199999999,783.004,294.94512,753.7618,689.4868000000001,45.8784,794.83744,797.746,142.72055999999998,850.2274,787.9036000000001,193.71276,707.72752,706.8712,431.0532,733.70044,642.4132,405.306,771.33052,634.7128000000001,402.7032,809.6309200000001,635.5696,405.48600000000005,1,
810.91,680.4508,256.42512000000005,787.68244,844.0402,213.92099999999996,774.1089999999999,718.6143999999999,-35.42904,788.6803600000001,837.04612,223.95635999999996,834.7247199999999,814.0622800000001,270.40355999999997,720.6976,711.886,423.0972,744.9652,674.0968,167.57784,812.61748,663.9412,177.93792,877.0517199999999,661.4644,208.23479999999998,734.43484,789.1708,288.20376,763.54444,700.9168,37.276559999999996,803.3701599999999,809.6656,140.65524000000002,859.27888,798.6496,188.78724,720.6976,711.886,423.0972,747.20296,648.1516,396.11879999999996,784.89712,640.9408,393.0768,823.20724,642.2116000000001,395.55,1,
815.29156,684.76,248.9508,800.72884,846.28804,210.98808,777.7691199999999,728.9644000000001,-42.04404,792.7620400000001,839.9793999999999,227.81844,839.053,816.8497600000001,269.20044,725.62348,712.8688,416.5092,749.10268,680.6596000000001,160.15284,816.73624,669.9928,170.11260000000001,881.23348,666.5728,200.18267999999998,744.418,791.338,282.91572,767.35468,709.6504,30.270132,806.89564,817.8829599999999,142.8678,863.0956,804.4456,186.92208000000002,725.62348,712.8688,416.5092,751.7908,649.6384,388.0548,789.4464399999999,642.3376,384.75719999999995,827.76736,643.3924000000001,387.1584,1,
817.19956,689.2996,242.18352,808.96276,849.0874000000001,206.28972,778.99348,735.8512000000001,-48.59784,796.00564,843.3994,228.95208,841.93732,819.96556,267.58476,728.42104,716.3788,410.3856,750.69316,687.244,153.55188,818.209,675.5512,163.1538,882.7462,670.8856000000001,192.96936000000002,750.90052,794.8552,277.36415999999997,768.64888,715.9216000000001,23.558652,809.44372,824.65456,143.08776,865.49464,809.2732,184.9266,728.42104,716.3788,410.3856,753.6606400000001,653.188,381.0168,791.20612,645.4372,377.5032,829.54504,645.952,379.79639999999995,1,
817.60996,693.6915999999999,237.38904000000002,811.73584,852.1524400000001,201.95208,779.17888,739.4728,-53.755199999999995,796.591,846.7564,229.8762,842.3217999999999,823.68472,265.887,728.9902,720.2452000000001,405.756,751.07872,692.4460000000001,148.761,818.5405599999999,680.3824,158.28336,883.0604800000001,675.2452000000001,188.05895999999998,752.98888,798.322,272.76876,768.85084,719.5432000000001,18.404208,809.78392,830.1064000000001,143.54316,865.85284,813.784,183.123,728.9902,720.2452000000001,405.756,753.92668,657.1012,376.03080000000006,791.43436,649.192,372.4668,829.77544,649.5124000000001,374.7528,1,
818.3944,696.1792,234.82835999999998,792.8776,854.5489600000001,193.06619999999998,778.86136,740.452,-56.657520000000005,796.70728,848.71084,231.12971999999996,842.49604,826.0340799999999,265.32252,730.12564,721.7248,403.53839999999997,751.65292,695.236,146.35440000000003,819.16156,683.2624000000001,155.65572,883.76284,678.1072,185.25168,741.86524,799.2796000000001,268.61111999999997,768.81808,720.6700000000001,15.581916,809.6446,833.251,144.53748,865.89964,816.6240399999999,182.46528,730.12564,721.7248,403.53839999999997,755.1171999999999,658.7788,373.4388,792.63172,650.9596,369.74519999999995,830.97784,651.3484,371.9448,1,
818.28064,698.4364,229.81392000000002,799.32736,857.70004,191.547,779.0212,742.6804,-62.129519999999985,799.192,851.49832,231.68016,844.2834399999999,827.8376800000001,264.26844,730.61992,722.5924,399.042,751.48336,700.4092,141.39935999999997,818.75224,686.9596000000001,150.41771999999997,883.25812,680.0116,179.8542,746.61148,802.318,265.82903999999996,768.70072,723.1324,10.135727999999999,811.74664,837.3942400000001,144.80028,867.65068,818.8236400000001,181.35683999999998,730.61992,722.5924,399.042,754.36948,659.7364,367.776,791.72344,651.2620000000001,363.906,830.0709999999999,650.8696,366.0732,1,
818.10424,699.9772,228.80303999999998,791.083,860.07136,188.35235999999998,779.02192,743.7783999999999,-63.398880000000005,799.0818399999999,853.34944,232.81668,843.91156,829.77448,264.8862,730.2808,723.0604000000001,398.09880000000004,751.41352,702.6736,140.32727999999997,818.6518,689.062,149.328,883.11304,681.8116,178.78931999999998,743.1886,803.5996,265.03992,768.6333999999999,724.3348000000001,8.884044,811.71568,839.56576,145.8972,867.51316,820.59196,182.05955999999998,730.2808,723.0604000000001,398.09880000000004,753.9742,660.3915999999999,366.4116,791.3206,651.8884,362.5272,829.66456,651.424,364.734,1,
818.30764,701.0752,228.24576,777.23632,862.1769999999999,184.6026,778.70404,744.6424,-64.04796,799.11928,855.01732,233.75915999999998,843.78988,831.44128,265.28616,730.60912,723.4168,397.70640000000003,751.5481599999999,704.1352,139.83372,818.79652,690.502,148.72428,883.28188,683.1364000000001,178.10531999999998,736.54372,804.4672,264.46176,768.45196,725.1808000000001,8.249507999999999,811.69372,841.0234,146.86488,867.529,821.86888,182.54304,730.60912,723.4168,397.70640000000003,754.2920799999999,660.8919999999999,365.7348,791.6370400000001,652.4140000000001,361.782,829.98316,651.946,363.9599999999999,1,
818.11108,701.6548,227.52612,772.85944,863.113,183.34619999999998,778.1716,745.2616,-64.80756,799.05772,856.3716400000001,234.04319999999998,843.61492,832.31068,265.19544,730.54108,723.6184000000001,397.1016,751.30876,705.0892000000001,139.16052000000002,818.5402,691.3228,147.97259999999997,883.02952,683.7664000000001,177.29532,734.32792,804.9964,263.97972,767.99728,725.7496000000001,7.487927999999999,811.58968,841.86076,147.22704,867.42676,822.48772,182.50271999999998,730.54108,723.6184000000001,397.1016,754.10704,661.1512,364.92839999999995,791.43616,652.6300000000001,360.92879999999997,829.78264,652.0936,363.08520000000004,1,
818.164,702.2776000000001,226.935,770.99284,863.8189600000001,182.72196,777.26152,745.3732,-65.45664000000001,798.92992,857.4890800000001,234.21527999999998,843.46084,833.52496,264.88764,730.93312,723.9064000000001,396.7272,751.17448,705.8128000000002,138.71447999999998,818.434,692.0752,147.36383999999998,882.98992,684.5187999999999,176.53931999999998,733.53232,805.4680000000001,263.68883999999997,767.35,725.9331999999999,6.8942879999999995,811.30168,842.60884,147.43872,867.25396,823.2052,182.25,730.93312,723.9064000000001,396.7272,754.47532,661.5076,364.40279999999996,791.80192,653.0187999999999,360.3132,830.15308,652.5076,362.38679999999994,1,
817.71832,702.2992000000002,225.87803999999997,769.59244,864.0155199999999,181.99836,776.32048,745.6324,-66.49056,798.49684,858.15616,233.80235999999996,842.94064,833.98612,264.29544,730.6498,723.4276,395.8164,750.65068,706.1368,137.72988,817.912,692.3488,146.27519999999998,882.49132,684.6736,175.36824,732.6748,805.3815999999999,263.0106,766.54036,726.0808000000001,5.848452,810.8095599999999,842.8792000000001,147.08664,866.7823599999999,823.3337200000001,181.71396000000001,730.6498,723.4276,395.8164,754.1372799999999,661.1224,363.276,791.45704,652.6300000000001,359.12448,829.80964,652.0936,361.1628,1,
817.03972,700.3732,222.31188,767.39716,862.8808000000001,180.69984,773.9725599999999,746.9212,-69.4206,798.25204,856.6456000000001,233.00855999999996,842.7393999999999,831.9186400000001,262.53144,730.9403199999999,719.2588000000001,393.0084,749.5156,705.7012,134.59068,816.78016,691.5928,142.57152,881.4901600000001,683.302,171.20232,731.58904,803.092,261.36647999999997,764.58808,726.6207999999999,2.7642888,810.07336,842.10304,146.09844,866.215,821.89372,179.76672,730.9403199999999,719.2588000000001,393.0084,754.06852,657.3712,359.42903999999993,791.3400399999999,648.8284,354.95424,829.70128,648.1551999999999,356.77872,1,
816.59224,698.8504,220.05504,763.83136,862.28356,179.8506,772.33816,747.7095999999999,-71.16624,798.3604,855.26536,232.53588,842.82796,830.3818,261.48096,731.29672,716.3320000000001,391.30199999999996,748.70848,705.2800000000001,132.68556,815.9575600000001,690.8620000000001,140.23332,880.76152,682.0636,168.49836,729.7534,801.5584,260.56584,763.2171999999999,726.9159999999999,0.9118115999999998,809.7687999999999,841.3441600000001,145.46916,865.98928,820.60744,178.5978,731.29672,716.3320000000001,391.30199999999996,754.06456,654.7,357.01127999999994,791.2864,646.078,352.28988,829.65268,645.2536000000001,353.94084,1,
815.97952,696.7948000000001,217.1034,753.14116,862.53412,178.86636,769.84984,747.7672,-73.55376,798.57064,853.67344,231.91704000000001,843.0036399999999,828.6743200000001,259.95744,731.9299599999999,712.5412000000001,389.1348,747.5409999999999,704.6536000000001,130.2858,814.76668,689.8108,137.1942,879.71464,680.3428,164.90484,723.95704,799.9924000000001,260.11188,761.14612,726.5956000000001,-1.5340824,809.32456,840.2281600000001,144.69228,865.68832,818.80744,176.95368,731.9299599999999,712.5412000000001,389.1348,754.1578,651.2368,353.91852,791.30332,642.4888000000001,348.83603999999997,829.67536,641.4556,350.2152,1,
815.45284,695.2755999999999,214.44516,743.77756,865.5916,179.58312,767.5073199999999,746.8599999999999,-75.88691999999999,798.50512,853.1014,230.53464000000002,842.95036,827.788,258.13512,732.50488,709.87,387.1116,746.4988,703.9804,128.11715999999998,813.72988,688.9252,134.49275999999998,878.82472,679.0827999999999,161.72567999999998,720.15256,800.7411999999999,260.82539999999995,759.22372,725.602,-3.843108,808.6834,839.28316,143.29872,865.1854000000001,817.4685999999999,175.06476,732.50488,709.87,387.1116,754.36624,648.7924,351.279,791.45848,639.9976,345.89844,829.83592,638.86,347.03172,1,
814.70332,694.2532000000001,213.04224,740.2348,865.95448,179.6958,765.79912,744.9952000000001,-77.34635999999999,797.8294000000001,852.97792,229.91436000000002,842.27572,827.56264,257.13864,732.27844,708.1744000000001,386.0136,745.49332,703.3252,126.9576,812.73844,688.2267999999999,133.07039999999998,877.91212,678.2584000000002,160.06752,718.4303199999999,800.2660000000001,260.7732,757.7362,724.0036,-5.199912,807.7297599999999,838.5336400000001,142.74792,864.33544,816.5801200000001,174.10644000000002,732.27844,708.1744000000001,386.0136,754.01416,647.2336,349.8696,791.08768,638.4496,344.34216,829.46764,637.2976,345.35556,1,
813.87604,693.2992000000002,212.09724,738.04564,865.59592,179.65944000000002,764.4736,743.098,-78.41483999999998,796.9312,852.88396,229.55976,841.36924,827.29516,256.46904,731.68156,706.648,385.2216,744.54256,702.5908,126.13535999999999,811.8045999999999,687.5104,132.10992,877.02076,677.4988000000001,158.98752,717.10156,799.4236,260.5698,756.51976,722.3368,-6.188543999999999,806.68648,837.76828,142.49088,863.38216,815.7658,173.49839999999998,731.68156,706.648,385.2216,753.4018,645.8296,348.8652,790.4728,637.0852000000001,343.25999999999993,828.85456,635.9548000000001,344.2176,1,
812.701,692.2516,211.26852,735.83632,864.79888,179.33867999999998,763.0073199999999,741.046,-79.40231999999999,795.511,852.6514000000001,228.97764,839.9494,826.8538000000001,255.7836,730.55368,705.1648,384.4512,743.3171199999999,701.5792,125.35091999999999,810.6068799999999,686.6032,131.27256,875.85076,676.6528000000001,158.10660000000001,715.4632,798.3148,260.13996,755.12512,720.4864,-7.110576,805.21336,836.8218400000001,142.03008000000003,861.98248,814.8676,172.88352,730.55368,705.1648,384.4512,752.3614,644.4436000000001,347.97779999999995,789.4446399999999,635.7712,342.34272000000004,827.82892,634.702,343.28303999999997,1,
811.61632,691.1643999999999,210.6576,733.94704,863.8434400000001,179.15076000000002,761.5936,738.94,-80.16156,794.12968,852.07828,228.72564,838.61128,826.26844,255.20363999999995,729.52912,703.6708000000001,383.8968,742.17628,700.5028000000001,124.78716,809.49412,685.6312,130.65408,874.76752,675.7492000000001,157.44204,714.016,797.1124,259.857,753.79312,718.5604000000001,-7.81002,803.83096,835.80844,141.85907999999998,860.69728,813.928,172.36907999999997,729.52912,703.6708000000001,383.8968,751.42288,643.0432000000001,347.32188,788.518,634.4428,341.6562,826.90444,633.4384,342.57635999999997,1,
810.0298,689.8144,209.91311999999996,732.0055600000001,862.7616399999999,178.78607999999997,759.85732,736.7548,-81.06012,792.6544,851.3968,228.00276,837.07444,825.17296,254.58479999999997,727.96924,702.0832,383.1804,740.5854400000001,699.3327999999999,124.06571999999998,807.89572,684.4143999999999,129.90096,873.16624,674.4532,156.66516,712.32148,795.838,259.39295999999996,752.08168,716.5768,-8.650187999999998,802.3229200000001,834.5851600000001,141.23592,859.1870799999999,812.6212,171.78947999999997,727.96924,702.0832,383.1804,749.82484,641.506,346.50575999999995,786.91456,632.8948000000001,340.82171999999997,825.30064,631.8652000000001,341.73611999999997,1,
807.4072,688.0108,208.93284,730.06048,861.70108,178.083,757.68184,734.6092000000001,-82.21248,791.14924,850.21636,227.02716,835.3072,823.39744,253.77408000000003,725.27428,700.5496,382.1472,738.1072,698.1448,123.03899999999999,805.30912,682.7584000000002,128.90952,870.48604,672.3112,155.71584,710.22016,794.7076,258.59376,749.73412,714.6616,-9.757944,800.75548,832.95688,140.34132,857.44504,810.5476,171.03096,725.27428,700.5496,382.1472,746.7508,639.8824,345.38975999999997,783.78616,631.0300000000001,339.72479999999996,822.1636,629.7376,340.67196,1,
805.0096,686.5024000000001,208.17324,728.97328,860.96308,177.46092,755.8397199999999,732.8992000000001,-83.12904,790.11208,849.15436,226.32912,833.98276,821.90956,253.10915999999997,722.809,699.5344,381.31919999999997,735.8842,697.3168000000001,122.22179999999997,802.9485999999999,681.3616000000001,128.142,868.00888,670.3348000000001,155.00195999999997,708.69916,794.0128,257.90076,747.67888,713.1496,-10.643364,799.642,831.58204,139.69764,856.12312,808.6648,170.42904000000001,722.809,699.5344,381.31919999999997,743.81392,638.734,344.51424000000003,780.77944,629.5756,338.87628,819.14356,627.9592,339.86051999999995,1,
802.1760400000001,685.1668,207.60623999999999,728.02828,860.3600799999999,176.73263999999998,753.73552,731.2900000000001,-83.89044000000001,788.80852,848.2485999999999,225.61884,832.42612,820.9926399999999,252.14508,719.84548,699.0196000000001,380.628,733.28356,696.6076,121.54932,800.18524,680.0187999999999,127.57356,865.0979199999999,668.3871999999999,154.53288,707.02192,793.6276,257.16492,745.31404,711.76,-11.374343999999999,798.28192,830.2701999999999,139.0644,854.57548,806.8648000000001,169.614,719.84548,699.0196000000001,380.628,740.32804,638.014,343.8684,777.2136399999999,628.5028000000001,338.28803999999997,815.5594,626.5264000000001,339.32952,1,
799.87744,684.1551999999999,207.54287999999997,728.37172,859.82584,176.64336,751.9848400000001,729.8679999999999,-84.13704000000001,787.08232,847.82416,225.20808000000002,830.55232,820.4234799999999,251.91827999999998,717.27652,698.3104000000001,380.412,731.18368,695.8264000000001,121.35780000000001,798.0165999999999,679.0072,127.50695999999999,862.8389199999999,667.1524000000001,154.58688,706.60144,793.1848,256.95,743.39884,710.4712,-11.605932,796.62808,829.28056,138.78108,852.79456,805.684,169.51932,717.27652,698.3104000000001,380.412,737.61652,637.2292,343.69523999999996,774.47908,627.592,338.18364,812.81584,625.4824,339.29604,1,
798.93604,683.7628000000001,207.72252,728.05852,859.4622400000001,176.80284,751.1402800000001,729.2883999999999,-84.01248,786.02824,847.51996,225.4266,829.53208,820.31476,251.99424,716.22172,697.8928,380.538,730.28764,695.3800000000001,121.49423999999998,797.12668,678.604,127.68624,861.93964,666.7924,154.80756,706.13992,792.8284,257.0724,742.5352,709.9024000000001,-11.479896,795.6312399999999,828.8690799999999,139.02911999999998,851.8175200000001,805.3240000000001,169.65216,716.22172,697.8928,380.538,736.62004,636.8187999999999,343.84392,773.4919600000001,627.2032,338.35571999999996,811.82908,625.1152000000001,339.49188,1,
797.72572,683.2552,207.95363999999998,727.76188,859.00252,177.01703999999998,749.90008,728.2911999999999,-83.90447999999999,784.68904,847.426,225.53820000000002,828.20332,820.1343999999999,252.19943999999998,714.86596,697.3564,380.70360000000005,729.136,694.8076000000001,121.66991999999998,795.98296,678.0820000000001,127.91699999999999,860.78368,666.3244,155.09088,705.6326799999999,792.3748,257.23439999999994,741.32236,708.988,-11.346912,794.3622399999999,828.34852,139.24151999999998,850.53412,804.8488,169.9236,714.86596,697.3564,380.70360000000005,735.33952,636.2896000000001,344.03472,772.2229600000001,626.7028,338.57748,810.5608,624.6436000000001,339.74388000000005,1,
796.58704,682.9348,208.36548,727.07356,858.60796,177.23556,748.69876,727.204,-83.65859999999999,783.26992,847.2834399999999,225.91080000000002,826.83172,820.2251200000001,252.42408,713.55952,697.0864,381.02759999999995,728.05204,694.2892,122.01192,794.9198799999999,677.6752,128.33280000000002,859.71592,666.0472,155.57363999999998,704.845,792.0364,257.472,740.16784,708.052,-11.054844,793.0288,827.9356,139.68395999999998,849.23704,804.5716,170.23752,713.55952,697.0864,381.02759999999995,734.1598,636.0124000000001,344.44295999999997,771.06268,626.476,339.02675999999997,809.40268,624.4816,340.2273599999999,1,
795.673,682.6396,208.66752,728.16652,858.3973599999999,177.64128,747.73108,726.3724,-83.48832,782.19244,847.1776,226.2168,825.75208,820.21288,252.62604,712.49176,696.8055999999999,381.2544,727.19884,693.8896,122.25167999999998,794.07568,677.3368,128.63628,858.85948,665.7772,155.9358,705.15964,791.8707999999999,257.697,739.2386799999999,707.3104000000001,-10.856844,792.02944,827.58964,140.05295999999998,848.25424,804.3016,170.51579999999998,712.49176,696.8055999999999,381.2544,733.17412,635.7352000000001,344.71799999999996,770.0896,626.2276,339.33671999999996,808.4303199999999,624.2656,340.56971999999996,1,
794.51632,682.1464,209.05272,732.502,858.2511999999999,178.794,746.8804,725.7172,-83.23992,780.9490000000001,846.95584,226.62648,824.4395199999999,819.83236,253.15596,710.98804,696.1864,381.4848,726.20992,693.418,122.50763999999998,793.07992,676.8868,129.01536,857.81368,665.3344000000001,156.43692000000001,707.13028,791.752,258.1542,738.3358,706.6732000000001,-10.609992,790.95232,827.1317200000001,140.53607999999997,847.12204,803.8444000000001,171.11016,710.98804,696.1864,381.4848,731.76508,635.1412,344.95235999999994,768.6946,625.6516,339.63912,807.03352,623.7004000000001,340.94735999999995,1,
793.86904,681.8224,209.22191999999998,734.36248,858.04708,179.31132000000002,746.4163599999999,725.242,-83.18051999999999,780.2408800000001,846.84136,226.7964,823.68172,819.5486800000001,253.40939999999995,710.08804,695.7976,381.53520000000003,725.68612,693.1084000000001,122.58108,792.54964,676.588,129.18096,857.2456,665.0392,156.69287999999997,707.87728,791.572,258.32699999999994,737.84836,706.2232000000001,-10.547064,790.37632,826.82608,140.76576,846.50572,803.5419999999999,171.4068,710.08804,695.7976,381.53520000000003,730.92952,634.7668,345.01716,767.86876,625.2844,339.75432,806.20588,623.344,341.11764,1,
