wrist-x,wrist-y,wrist-z,thumb-x-dip,thumb-y-dip,thumb-z-dip,middle-x-dip,middle-y-dip,middle-z-dip,index-x-dip,index-y-dip,index-z-dip,ring-x-dip,ring-y-dip,ring-z-dip,thumb-x-mcp,thumb-y-mcp,thumb-z-mcp,middle-x-mcp,middle-y-mcp,middle-z-mcp,index-x-mcp,index-y-mcp,index-z-mcp,ring-x-mcp,ring-y-mcp,ring-z-mcp,thumb-x-pip,thumb-y-pip,thumb-z-pip,middle-x-pip,middle-y-pip,middle-z-pip,index-x-pip,index-y-pip,index-z-pip,ring-x-pip,ring-y-pip,ring-z-pip,thumb-x-carp,thumb-y-carp,thumb-z-carp,middle-x-carp,middle-y-carp,middle-z-carp,index-x-carp,index-y-carp,index-z-carp,ring-x-carp,ring-y-carp,ring-z-carp,grabbing,
889.32924,547.6816,151.49591999999998,952.9272,623.4436000000001,-15.353100000000001,749.4966,438.7456000000001,-81.40356000000001,880.76448,641.3356000000001,-35.439732,834.17688,664.2172,6.719652,1061.1036,599.806,221.18508,892.42524,474.3316,68.121,841.248,502.6168,105.41268000000001,805.21416,543.754,151.33859999999999,1007.7156,603.4744000000001,74.18484,799.09848,445.54959999999994,-24.560351999999998,824.90544,572.3416,-27.588276,775.89864,603.5464,28.165536,1061.1036,599.806,221.18508,1012.3919999999999,551.3032000000001,249.34463999999997,978.6923999999999,562.1464,264.69936,949.1731199999999,582.202,279.14544,1,
884.24892,531.1611999999999,144.03888,945.0406800000001,618.796,-17.649935999999997,732.98952,442.45360000000005,-90.38952,875.3497199999999,635.5720000000001,-37.30608,832.14972,658.7488000000001,7.965576,1060.2107999999998,570.5092000000001,211.63788,881.42364,462.68560000000014,56.606399999999994,832.7440799999999,491.2984,96.87564,800.06652,531.4636,146.05524,1002.0204,588.6244,67.56012,784.3428,443.6272,-34.718759999999996,816.30756,569.0656,-31.577688,771.25644,600.0004,27.401183999999997,1060.2107999999998,570.5092000000001,211.63788,1009.7964,522.9604,238.39272,977.1048000000001,534.5704000000001,255.28788000000003,949.0377599999999,555.2128000000001,271.67652,1,
863.35236,513.0532000000001,124.25148,929.2953600000001,602.1640000000001,-33.408179999999994,708.0861600000001,434.7388000000001,-111.38472,863.0618400000001,616.8664000000001,-58.08492,822.5330399999999,643.9312000000001,-12.529872,1041.1055999999999,539.1892,193.54536,856.23192,444.76480000000004,36.9198,809.45496,477.0712,76.64544,779.41728,519.7132,125.42076,984.7331999999999,564.5656,49.83984,758.8206,432.3124,-55.18944,799.2723599999999,554.8960000000001,-52.419239999999995,757.17684,590.0032,6.3792,1041.1055999999999,539.1892,193.54536,986.9831999999999,495.6471999999999,219.87828,955.0944,509.7339999999999,236.4228,928.5062399999999,532.4788,252.49068,1,
838.66968,497.1339999999999,101.09339999999999,908.29692,586.6912000000001,-54.034560000000006,685.08432,422.9596,-137.20031999999998,843.4220399999999,601.5268,-80.94816,803.51604,629.7220000000001,-35.597232,1015.9416,518.3164,173.24963999999997,831.14028,429.46119999999996,13.316292,784.60416,462.78640000000007,52.48008,754.9272,505.96479999999997,101.00268000000001,962.0028,546.4828,29.131596000000002,734.8122,419.16160000000013,-80.18712,778.00176,541.1764000000001,-76.47407999999999,736.488,577.432,-17.988912000000003,1015.9416,518.3164,173.24963999999997,960.3072,476.07040000000006,198.5238,928.54152,490.90600000000006,214.6464,902.30472,514.2592000000001,230.41799999999998,1,
828.04464,489.25,90.93816,898.72308,579.8152,-62.87328,674.8056,417.3220000000001,-148.43448,834.1491599999999,595.144,-90.24156,794.52252,623.3464,-44.67959999999999,1005.1308,508.5028000000001,164.08151999999998,820.43316,422.43399999999997,2.5157915999999996,773.9578799999999,455.7339999999999,41.77116,744.36912,498.68560000000014,90.5508,951.8796,538.4116000000001,20.05902,724.28292,412.8832,-91.24992,768.29436,535.2184000000001,-86.55803999999999,727.038,571.384,-27.857376,1005.1308,508.5028000000001,164.08151999999998,949.08312,466.43320000000006,188.71956,917.3502000000001,481.34799999999996,204.83316,891.20952,504.74440000000004,220.69836,1,
809.47224,476.0308000000001,68.98392,880.3594800000001,569.728,-82.20852,656.8866,407.57320000000004,-172.21392,816.219,585.6652,-110.04191999999999,776.4947999999999,613.1224,-64.06164,986.2452,493.2496,143.38836,802.14228,411.2020000000001,-20.929356000000002,755.55072,443.7388000000001,18.828036,725.82084,485.668,68.4018,933.1516799999999,526.5640000000001,0.055435319999999996,706.13208,402.2883999999999,-114.90156,750.24396,525.7971999999999,-107.88552,708.92928,560.8792,-48.49416,986.2452,493.2496,143.38836,929.98116,450.7768,166.81968,898.2039599999999,465.4072000000001,183.10608,872.03844,488.50840000000005,199.35828,1,
792.57996,465.2776,47.9538,864.2826,561.3112,-100.15776,641.4336,399.592,-195.51059999999998,800.3412,578.7856,-129.26628,761.06196,605.6560000000001,-82.34675999999999,968.6232,479.8792000000001,124.61148,785.93148,402.7024,-43.59456,739.0584,434.4616000000001,-3.5428932,708.98076,475.3036000000001,46.72943999999999,916.1362799999999,516.6496,-18.097739999999998,690.26688,393.67719999999997,-137.90771999999998,734.28804,518.9644,-128.66111999999998,693.2440799999999,553.2471999999999,-68.52456000000001,968.6232,479.8792000000001,124.61148,911.93616,437.09680000000003,146.40156,880.04988,451.46799999999996,162.70704,853.81092,474.2776,179.24508,1,
776.78244,457.34680000000003,28.737288,848.57292,553.7368,-117.30563999999998,628.57188,393.3388000000001,-217.4526,784.0656,574.1596000000001,-147.53591999999998,745.28316,600.2128000000001,-99.28044,951.7824,471.178,107.88336,771.60708,396.7660000000001,-64.23479999999999,724.07016,427.3912,-24.08454,693.1512,466.9588,26.691192,899.57052,509.3632,-34.554564,676.84212,387.20439999999996,-159.40007999999997,718.68564,513.6039999999999,-148.00644000000003,677.7486,547.0264000000001,-87.14303999999998,951.7824,471.178,107.88336,895.06728,427.63239999999996,128.02356,862.9038,441.47440000000006,144.2412,836.33832,463.7800000000001,160.94663999999997,1,
763.65072,449.3152,11.004084,835.1514,546.5296,-132.90048000000002,618.717168,385.62040000000013,-237.81203999999997,771.19344,569.548,-163.32047999999998,731.74572,594.3844,-114.7572,937.5015599999999,463.0816,92.65644,760.21848,390.6532000000001,-83.27051999999999,711.8928,419.9968,-43.102079999999994,679.96512,458.20360000000005,8.08812,885.40236,502.5988000000001,-49.45968,666.48348,379.79560000000004,-179.31204,706.50216,508.294,-165.5442,664.6896,540.2368,-104.35751999999998,937.5015599999999,463.0816,92.65644,880.94808,418.60720000000015,111.1554,848.45376,431.812,127.24524,821.47104,453.5164,144.07092,1,
752.74524,443.87200000000007,-3.2205024,824.6304,540.9064000000001,-145.65852,610.958736,378.46720000000005,-254.08835999999997,760.69512,565.9984000000001,-176.92344,721.12392,590.2408,-127.81692,925.38144,457.49080000000004,80.99352,750.93048,386.4376,-98.29296,701.89704,414.9892,-58.41395999999999,669.05964,452.35,-7.17318,873.61884,497.8936,-60.9966,658.27692,373.61080000000004,-195.138,696.57912,504.19000000000005,-180.20592000000002,654.32628,535.5172000000001,-118.85363999999998,925.38144,457.49080000000004,80.99352,868.82616,412.4764000000001,98.12808,836.04204,425.29240000000004,113.93963999999998,808.71156,446.6332,130.67424,1,
