wrist-x,wrist-y,wrist-z,thumb-x-dip,thumb-y-dip,thumb-z-dip,middle-x-dip,middle-y-dip,middle-z-dip,index-x-dip,index-y-dip,index-z-dip,ring-x-dip,ring-y-dip,ring-z-dip,thumb-x-mcp,thumb-y-mcp,thumb-z-mcp,middle-x-mcp,middle-y-mcp,middle-z-mcp,index-x-mcp,index-y-mcp,index-z-mcp,ring-x-mcp,ring-y-mcp,ring-z-mcp,thumb-x-pip,thumb-y-pip,thumb-z-pip,middle-x-pip,middle-y-pip,middle-z-pip,index-x-pip,index-y-pip,index-z-pip,ring-x-pip,ring-y-pip,ring-z-pip,thumb-x-carp,thumb-y-carp,thumb-z-carp,middle-x-carp,middle-y-carp,middle-z-carp,index-x-carp,index-y-carp,index-z-carp,ring-x-carp,ring-y-carp,ring-z-carp,grabbing,
824.08836,387.3908,69.76151999999999,659.93016,384.66919999999993,36.31248,690.1932,330.23000000000013,-192.75227999999996,744.81096,355.9699999999999,-238.88051999999996,780.25404,485.7536000000001,-111.55103999999999,789.63456,448.30999999999995,255.95964000000004,736.24908,333.90920000000006,18.843875999999998,804.40716,346.08080000000007,0.43670519999999996,873.7392,371.2772,0.18005147999999996,689.96352,391.14199999999994,142.32888,708.87216,323.174,-117.09539999999998,771.58092,341.2712,-152.03591999999998,819.49152,407.03239999999994,-129.04919999999998,789.63456,448.30999999999995,255.95964000000004,828.25068,386.4152,232.1586,863.7301199999999,388.7912,214.14275999999998,898.4585999999999,401.1644,199.22292000000002,1,
823.88316,387.40880000000004,69.71544,659.73576,384.698,36.204840000000004,690.0549599999999,330.1471999999999,-192.8088,744.71412,355.8044,-238.9356,780.1518,485.71760000000006,-111.56183999999999,789.37356,448.45760000000007,255.86100000000002,736.05072,333.91280000000006,18.799704,804.21852,346.05920000000003,0.41017319999999996,873.55632,371.23760000000004,0.16312427999999998,689.73456,391.2392,142.22735999999998,708.70908,323.1272,-117.14255999999999,771.44808,341.15600000000006,-152.07156,819.35184,406.9856000000001,-129.08628,789.37356,448.45760000000007,255.86100000000002,827.98428,386.5376,232.11468,863.47092,388.89199999999994,214.11072,898.20804,401.2471999999999,199.19555999999997,1,
823.56312,387.4520000000001,69.62867999999999,659.42508,384.7088,36.03959999999999,689.78712,330.014,-192.89556,744.54996,355.55600000000004,-239.03279999999998,779.99628,485.98760000000004,-111.1428,788.97396,448.7024,255.69252,735.73968,333.9344000000001,18.72018,803.92152,346.034,0.35511264,873.26832,371.19079999999997,0.11979396,689.3886,391.3832,142.06392000000002,708.42144,323.0516,-117.21888,771.23208,340.9868,-152.13924,819.0516,407.2664,-129.03336,788.97396,448.7024,255.69252,827.57604,386.7464,232.0308,863.07312,389.0684,214.04376,897.82248,401.39840000000004,199.13472,1,
823.29708,387.4699999999999,69.50232,659.15328,384.7016,35.909532,689.50524,329.8915999999999,-192.98592,744.29652,355.3832,-239.14223999999996,779.74716,485.93719999999996,-111.27492,788.70252,448.8427999999999,255.52547999999996,735.4725599999999,333.92359999999996,18.623915999999998,803.6562,346.01240000000007,0.25443576,873.0047999999999,371.16200000000003,0.0064220399999999995,689.1222,391.4516,141.92712,708.1446,322.9688,-117.30744,770.9736,340.86800000000005,-152.23824000000002,818.78736,407.2052,-129.15612,788.70252,448.8427999999999,255.52547999999996,827.30172,386.86879999999996,231.90516,862.80024,389.17640000000006,213.91848,897.5510400000001,401.4956000000001,199.00331999999997,1,
823.01196,387.49519999999995,69.3504,658.88292,384.7052,35.682552,689.14344,329.9852000000001,-193.12956,744.16764,355.22839999999997,-239.3154,779.6154,486.038,-111.24647999999999,788.3364,449.00480000000005,255.31343999999999,735.1982399999999,333.9452,18.460296,803.3955599999999,345.99799999999993,0.11958192000000001,872.75208,371.1260000000001,-0.10782684,688.80648,391.5415999999999,141.70752,707.81232,323.01919999999996,-117.46152000000001,770.79324,340.7636,-152.38727999999998,818.5882799999999,407.3023999999999,-129.25584,788.3364,449.00480000000005,255.31343999999999,826.92876,387.00200000000007,231.75575999999998,862.4377199999999,389.288,213.78636,897.2004,401.5856000000001,198.88164,1,
822.80316,387.49159999999995,69.24779999999998,658.67052,384.644,35.58168,688.89036,330.0032,-193.21092,743.97828,355.13120000000015,-239.41296,779.42928,486.06319999999994,-111.27492,788.12004,449.0624,255.18815999999995,734.988,333.9344000000001,18.368748,803.1878399999999,345.9728,0.029069783999999994,872.54652,371.09360000000004,-0.20147364,688.60164,391.5452,141.60023999999999,707.57436,323.01919999999996,-117.54863999999999,770.59632,340.688,-152.47836,818.3766,407.32399999999996,-129.33108000000001,788.12004,449.0624,255.18815999999995,826.70808,387.0488,231.65352,862.21848,389.3276000000001,213.68591999999998,896.98332,401.61439999999993,198.78012,1,
822.33516,387.48800000000006,69.06744,658.19496,384.5720000000001,35.39826,688.41948,329.9348,-193.36356,743.55168,354.92240000000004,-239.58252000000002,778.99116,486.06319999999994,-111.37031999999999,787.63152,449.192,254.96063999999998,734.52144,333.90200000000004,18.212220000000002,802.7256,345.92240000000004,-0.12567815999999998,872.08716,371.03599999999994,-0.3632328,688.12716,391.57399999999996,141.41016,707.106,322.95079999999996,-117.702,770.15532,340.5404,-152.63424,817.90356,407.32040000000006,-129.47256,787.63152,449.192,254.96063999999998,826.21632,387.1568,231.47388,861.7296,389.4176000000001,213.51023999999998,896.49804,401.69000000000005,198.60083999999998,1,
821.87868,387.49519999999995,68.91228,657.73704,384.5251999999999,35.24292,687.99216,329.90600000000006,-193.49136,743.11392,354.73159999999996,-239.72147999999999,778.5101999999999,486.01999999999987,-111.52116000000001,787.15812,449.3108000000001,254.76551999999998,734.0739599999999,333.8696,18.085715999999998,802.2774,345.8864,-0.25618752,871.63608,371.0072000000001,-0.5058035999999999,687.6652799999999,391.6028000000001,141.25068,706.67616,322.904,-117.83088000000001,769.7154,340.4036000000001,-152.76276,817.42188,407.2736,-129.6072,787.15812,449.3108000000001,254.76551999999998,825.7515599999999,387.26480000000004,231.31908,861.26556,389.51840000000004,213.35580000000002,896.0332800000001,401.7872,198.44064,1,
821.69364,387.48440000000016,68.85468,657.5844,384.6260000000001,35.14392,687.82296,329.83399999999995,-193.53204,742.9205999999999,354.6272,-239.76684,778.3032000000001,485.9660000000001,-111.60071999999998,786.97452,449.35040000000004,254.69171999999995,733.89216,333.83719999999994,18.046656,802.0938,345.8539999999999,-0.30122244,871.4499599999999,370.9856000000001,-0.5605452,687.48168,391.6712,141.16248,706.50372,322.8427999999999,-117.8694,769.5264,340.328,-152.80524,817.221,407.2124,-129.66552,786.97452,449.35040000000004,254.69171999999995,825.573,387.3008,231.26147999999998,861.08592,389.5544,213.29604,895.85184,401.82320000000004,198.3762,1,
821.3646,387.42679999999996,68.7726,657.3162,384.7124,35.016084,687.5255999999999,329.69359999999995,-193.58783999999997,742.56744,354.42200000000014,-239.82732000000001,777.88524,486.01999999999987,-111.54384,786.65988,449.3792000000001,254.58263999999997,733.55844,333.75440000000003,17.996796,801.75864,345.764,-0.36197280000000004,871.1155200000001,370.89199999999994,-0.6385428,687.1584,391.71799999999996,141.05303999999998,706.19448,322.72040000000004,-117.92088000000001,769.17972,340.16240000000005,-152.86068,816.77316,407.2628000000001,-129.6558,786.65988,449.3792000000001,254.58263999999997,825.25584,387.3224,231.17903999999996,860.7673199999999,389.5652,213.21,895.53252,401.82679999999993,198.28152,1,
